Exact cubic-plus-plane whole-source convex certificate. Every number is rational; all feasible vertices are included.

| bin | b lower | b upper | initial gamma | A_C | normalized capacity upper | pieces |
|---|---|---|---|---|---|---|
|1|1|59/56|5661/10000|6|45486411/50000000|37|
|2|59/56|31/28|2871/5000|6|46947721/50000000|36|
|3|31/28|65/56|5817/10000|6|12069273/12500000|34|
|4|65/56|17/14|368/625|6|12358599/12500000|33|
|5|17/14|139/112|2961/5000|6|9458377/10000000|32|
|6|139/112|71/56|2977/5000|6|47894451/50000000|31|
|7|71/56|145/112|2993/5000|6|48470871/50000000|31|
|8|145/112|37/28|6017/10000|6|12254759/12500000|30|
|9|37/28|151/112|3023/5000|6|99062247/100000000|30|
|10|151/112|11/8|243/400|667/112|19979391/20000000|29|
|11|11/8|311/224|6089/10000|47/8|98233/100000|29|
|12|311/224|157/112|6103/10000|1307/224|98689537/100000000|28|
|13|157/112|317/224|6117/10000|649/112|99217591/100000000|28|
|14|317/224|10/7|613/1000|1289/224|99702533/100000000|28|

Full convex-piece endpoint bounds. Labels name(k,region,active-line-pair); indices begin at0.

| bin | left gamma | right gamma | left bound | right bound | left maximizing vertex | right maximizing vertex | active vertices |
|---|---|---|---|---|---|---|---|
|1|5661/10000|5711/10000|1341639/3125000|43694187/100000000|[3, 3, (1, 3)]|[3, 3, (1, 3)]|32|
|1|5711/10000|5761/10000|43694187/100000000|1389457/3125000|[3, 3, (1, 3)]|[3, 3, (1, 3)]|32|
|1|5761/10000|5811/10000|1389457/3125000|35342/78125|[3, 3, (1, 3)]|[3, 3, (1, 3)]|32|
|1|5811/10000|5861/10000|35342/78125|23009797/50000000|[3, 3, (1, 3)]|[3, 3, (1, 3)]|32|
|1|5861/10000|11370037500/19365092081|23009797/50000000|23091599/50000000|[3, 3, (1, 3)]|[3, 3, (1, 3)]|32|
|1|11370037500/19365092081|5911/10000|23091599/50000000|19739087/50000000|[3, 3, (3, 4)]|[3, 3, (3, 4)]|26|
|1|5911/10000|5961/10000|19739087/50000000|32609767/100000000|[3, 3, (3, 4)]|[3, 3, (3, 4)]|26|
|1|5961/10000|6011/10000|32609767/100000000|5301981/20000000|[3, 3, (3, 4)]|[3, 3, (3, 4)]|26|
|1|6011/10000|8736300000/14461642087|5301981/20000000|1557341/6250000|[3, 3, (3, 4)]|[4, 3, (3, 4)]|26|
|1|8736300000/14461642087|4175437500/6896850281|1557341/6250000|24647611/100000000|[4, 3, (3, 4)]|[4, 3, (3, 4)]|22|
|1|4175437500/6896850281|6061/10000|24647611/100000000|12253301/50000000|[4, 3, (3, 4)]|[4, 3, (3, 4)]|16|
|1|6061/10000|6111/10000|12253301/50000000|23493647/100000000|[4, 3, (3, 4)]|[4, 3, (3, 4)]|16|
|1|6111/10000|6161/10000|23493647/100000000|22502071/100000000|[4, 3, (3, 4)]|[4, 3, (3, 4)]|16|
|1|6161/10000|6211/10000|22502071/100000000|10765937/50000000|[4, 3, (3, 4)]|[4, 3, (3, 4)]|16|
|1|6211/10000|6261/10000|10765937/50000000|5193553/25000000|[4, 3, (3, 4)]|[4, 0, (3, 4)]|16|
|1|6261/10000|6311/10000|5193553/25000000|20695349/100000000|[4, 0, (3, 4)]|[4, 0, (3, 4)]|16|
|1|6311/10000|7965450000/12555917081|20695349/100000000|1034421/5000000|[4, 0, (3, 4)]|[4, 0, (3, 4)]|16|
|1|7965450000/12555917081|6361/10000|1034421/5000000|10076893/50000000|[4, 2, (3, 4)]|[4, 2, (3, 4)]|12|
|1|6361/10000|6411/10000|10076893/50000000|18628133/100000000|[4, 2, (3, 4)]|[4, 2, (3, 4)]|12|
|1|6411/10000|6461/10000|18628133/100000000|8584851/50000000|[4, 2, (3, 4)]|[4, 2, (3, 4)]|12|
|1|6461/10000|4336031250/6664861003|8584851/50000000|8123031/50000000|[4, 2, (3, 4)]|[4, 3, (3, 4)]|12|
|1|4336031250/6664861003|6511/10000|8123031/50000000|504989/3125000|[4, 3, (3, 4)]|[4, 3, (3, 4)]|6|
|1|6511/10000|6561/10000|504989/3125000|15339103/100000000|[4, 3, (3, 4)]|[4, 3, (3, 4)]|6|
|1|6561/10000|6611/10000|15339103/100000000|14539937/100000000|[4, 3, (3, 4)]|[4, 3, (3, 4)]|6|
|1|6611/10000|6661/10000|14539937/100000000|275243/2000000|[4, 3, (3, 4)]|[4, 3, (3, 4)]|6|
|1|6661/10000|6711/10000|275243/2000000|6502871/50000000|[4, 3, (3, 4)]|[4, 3, (3, 4)]|6|
|1|6711/10000|6761/10000|6502871/50000000|1533839/12500000|[4, 3, (3, 4)]|[4, 3, (3, 4)]|6|
|1|6761/10000|6811/10000|1533839/12500000|5778531/50000000|[4, 3, (3, 4)]|[4, 3, (3, 4)]|6|
|1|6811/10000|6861/10000|5778531/50000000|1086479/10000000|[4, 3, (3, 4)]|[4, 3, (3, 4)]|6|
|1|6861/10000|6911/10000|1086479/10000000|5096949/50000000|[4, 3, (3, 4)]|[4, 3, (3, 4)]|6|
|1|6911/10000|6961/10000|5096949/50000000|149131/1562500|[4, 3, (3, 4)]|[4, 3, (3, 4)]|6|
|1|6961/10000|5974087500/8573192081|149131/1562500|9450897/100000000|[4, 3, (3, 4)]|[4, 3, (2, 3)]|6|
|1|5974087500/8573192081|7011/10000|0|0|None|None|0|
|1|7011/10000|7061/10000|0|0|None|None|0|
|1|7061/10000|7111/10000|0|0|None|None|0|
|1|7111/10000|7161/10000|0|0|None|None|0|
|1|7161/10000|18/25|0|0|None|None|0|
|2|2871/5000|362/625|8398421/20000000|10681651/25000000|[3, 3, (1, 3)]|[3, 3, (1, 3)]|32|
