Exact whole-source convex certificate. Every number is rational; maxima include all feasible vertices.

| bin | b lower | b upper | initial gamma | normalized capacity upper | pieces |
|---|---|---|---|---|---|
|1|1|17/16|2837/5000|45244387/50000000|36|
|2|17/16|9/8|5767/10000|3738471/4000000|34|
|3|9/8|19/16|5853/10000|12023759/12500000|31|
|4|19/16|5/4|5933/10000|49365997/50000000|30|
|5|5/4|41/32|597/1000|18897173/20000000|30|
|6|41/32|21/16|3003/5000|23970763/25000000|29|
|7|21/16|43/32|6041/10000|97253897/100000000|29|
|8|43/32|11/8|243/400|98574437/100000000|28|
|9|11/8|89/64|1523/2500|48545323/50000000|28|
|10|89/64|45/32|1527/2500|97746929/100000000|27|
|11|45/32|91/64|1531/2500|24599087/25000000|27|
|12|91/64|23/16|6139/10000|99019627/100000000|27|
|13|23/16|93/64|1231/2000|99665983/100000000|26|
|14|93/64|187/128|3081/5000|99010003/100000000|26|
|15|187/128|47/32|617/1000|99335451/100000000|26|
|16|47/32|189/128|6177/10000|99636879/100000000|26|
|17|189/128|379/256|6181/10000|99340181/100000000|26|
|18|379/256|95/64|1237/2000|99501649/100000000|26|
|19|95/64|381/256|1547/2500|99639373/100000000|26|
|20|381/256|191/128|387/625|49900103/50000000|26|
|21|191/128|765/512|3097/5000|49830999/50000000|26|
|22|765/512|383/256|1549/2500|99742729/100000000|26|
|23|383/256|767/512|6197/10000|49900033/50000000|26|
|24|767/512|1535/1024|3099/5000|99730961/100000000|26|
|25|1535/1024|3/2|6199/10000|99771367/100000000|25|

Full convex-piece endpoint bounds. Parentheses name(k,region,active-line-pair); line indices begin at0.

| bin | left gamma | right gamma | left bound | right bound | left maximizing vertex | right maximizing vertex | active vertices |
|---|---|---|---|---|---|---|---|
|1|2837/5000|1431/2500|20608793/50000000|8389443/20000000|[3, 0, (1, 3)]|[3, 0, (1, 3)]|16|
|1|1431/2500|2887/5000|8389443/20000000|42683247/100000000|[3, 0, (1, 3)]|[3, 0, (1, 3)]|16|
|1|2887/5000|364/625|42683247/100000000|43425679/100000000|[3, 0, (1, 3)]|[3, 0, (1, 3)]|16|
|1|364/625|2937/5000|43425679/100000000|44174513/100000000|[3, 0, (1, 3)]|[3, 0, (1, 3)]|16|
|1|2937/5000|11466393750/19365092081|44174513/100000000|2244339/5000000|[3, 0, (1, 3)]|[3, 0, (1, 3)]|16|
|1|11466393750/19365092081|1481/2500|2244339/5000000|1394137/3125000|[3, 0, (3, 4)]|[3, 0, (3, 4)]|13|
|1|1481/2500|72845325000/122191601923|1394137/3125000|20719633/50000000|[3, 0, (3, 4)]|[3, 0, (3, 4)]|13|
|1|72845325000/122191601923|2987/5000|20719633/50000000|7933907/20000000|[3, 1, (3, 4)]|[3, 1, (3, 4)]|9|
|1|2987/5000|753/1250|7933907/20000000|8245277/25000000|[3, 1, (3, 4)]|[3, 1, (3, 4)]|9|
|1|753/1250|3037/5000|8245277/25000000|13488973/50000000|[3, 1, (3, 4)]|[3, 1, (3, 4)]|9|
|1|3037/5000|1531/2500|13488973/50000000|5502351/25000000|[3, 1, (3, 4)]|[4, 1, (3, 4)]|9|
|1|1531/2500|3087/5000|5502351/25000000|20723793/100000000|[4, 1, (3, 4)]|[4, 1, (3, 4)]|9|
|1|3087/5000|4271793750/6896850281|20723793/100000000|5056503/25000000|[4, 1, (3, 4)]|[4, 1, (3, 4)]|9|
