| id | d | E | m | mu | B | r | upper lines (slope,intercept) |
|---|---|---|---|---|---|---|---|
| 1 | 1 | 1 | 1 | 0 | 1 | 1 | (1,0) |
| 2 | 2 | 2 | 1 | 0 | 2 | 1 | (1,0) |
| 3 | 2 | 3 | 2 | 1 | 1 | 283/200 | (283/200,0) |
| 4 | 2 | 4 | 3 | 2 | 2/3 | 1733/1000 | (1733/1000,0) |
| 5 | 2 | 5 | 4 | 3 | 1/2 | 2 | (2,0) |
| 6 | 2 | 6 | 5 | 4 | 2/5 | 2237/1000 | (2237/1000,0) |
| 7 | 2 | 7 | 6 | 5 | 1/3 | 49/20 | (49/20,0) |
| 8 | 3 | 3 | 1 | 0 | 3 | 1 | (1,83/200); (5/4,33/200); (3/2,0) |
| 9 | 3 | 4 | 2 | 1 | 2 | 63/50 | (63/50,237/1000); (3/2,117/1000); (5/3,17/500); (7/4,0) |
| 10 | 3 | 4 | 3 | 3 | 1 | 1443/1000 | (1443/1000,0) |
| 11 | 3 | 5 | 3 | 2 | 5/3 | 1443/1000 | (5/4,103/200); (1443/1000,97/500); (3/2,167/1000); (2,0) |
| 12 | 3 | 5 | 4 | 4 | 1 | 397/250 | (397/250,37/1000); (5/3,17/1000); (7/4,0) |
| 13 | 3 | 5 | 5 | 6 | 3/5 | 171/100 | (171/100,0) |
| 14 | 3 | 5 | 6 | 8 | 1/3 | 909/500 | (909/500,0) |
| 15 | 3 | 6 | 4 | 3 | 3/2 | 397/250 | (397/250,103/500); (7/4,1/8); (2,3/50); (5/2,0) |
| 16 | 3 | 6 | 5 | 5 | 1 | 171/100 | (171/100,29/500); (2,0) |
| 17 | 3 | 6 | 6 | 7 | 2/3 | 909/500 | (909/500,0) |
| 18 | 3 | 6 | 7 | 9 | 3/7 | 1913/1000 | (1913/1000,0) |
| 19 | 3 | 6 | 8 | 11 | 1/4 | 2 | (2,0) |
| 20 | 3 | 6 | 9 | 13 | 1/9 | 2081/1000 | (2081/1000,0) |
| 21 | 3 | 7 | 5 | 4 | 7/5 | 171/100 | (171/100,211/1000); (2,19/200); (5/2,0) |
| 22 | 3 | 7 | 6 | 6 | 1 | 909/500 | (909/500,7/100); (2,1/25); (5/2,0) |
| 23 | 3 | 7 | 7 | 8 | 5/7 | 1913/1000 | (5/4,243/500); (7/4,129/1000); (1913/1000,13/1000); (2,0) |
| 24 | 3 | 7 | 8 | 10 | 1/2 | 2 | (2,0) |
| 25 | 3 | 7 | 9 | 12 | 1/3 | 2081/1000 | (2081/1000,0) |
| 26 | 3 | 7 | 10 | 14 | 1/5 | 431/200 | (431/200,0) |
