FAMILY Q.hmin=37/200.
Grid0=131/900,1/2,1,2,4,8,16;grid1=37/208,1/2,1,2,4,8;grid2=1609/5400,1/2,1,2,4,8.
Splits: parent tag | coordinate | midpoint
1.3.4 | 2 | 3
1.4.4 | 1 | 3
1.4.40 | 2 | 3
2.3.4 | 2 | 3
2.3.40 | 1 | 3/2
2.3.400 | 2 | 5/2
2.3.401 | 2 | 5/2
2.4.4 | 1 | 3
2.4.40 | 2 | 3
2.4.400 | 1 | 5/2
2.4.4000 | 2 | 5/2
2.4.40001 | 0 | 3/4
2.4.4001 | 2 | 5/2
2.4.40011 | 0 | 3/4
2.4.401 | 1 | 5/2
2.4.4010 | 2 | 7/2
2.4.4011 | 2 | 7/2
2.4.40110 | 0 | 3/4
2.4.41 | 2 | 3
2.4.411 | 1 | 7/2
2.4.4110 | 2 | 7/2
2.4.41100 | 0 | 3/4
Rectangles: tag | l0 | u0 | l1 | u1 | l2 | u2 | h1 | h2 | total upper numerator
1.1.1 | 131/900 | 1/2 | 37/208 | 1/2 | 1609/5400 | 1/2 | 37/200 | 1609/5000 | 4220031305
1.1.2 | 131/900 | 1/2 | 37/208 | 1/2 | 1/2 | 1 | 37/200 | 1609/5000 | 7092166090
1.1.3 | 131/900 | 1/2 | 37/208 | 1/2 | 1 | 2 | 37/200 | 1609/5000 | 8319972876
1.1.4 | 131/900 | 1/2 | 37/208 | 1/2 | 2 | 4 | 37/200 | 1609/5000 | 8459356490
1.1.5 | 131/900 | 1/2 | 37/208 | 1/2 | 4 | 8 | 37/200 | 1609/5000 | 8314402001
1.2.1 | 131/900 | 1/2 | 1/2 | 1 | 1609/5400 | 1/2 | 37/200 | 1609/5000 | 4220031305
1.2.2 | 131/900 | 1/2 | 1/2 | 1 | 1/2 | 1 | 37/200 | 1609/5000 | 7302152237
1.2.3 | 131/900 | 1/2 | 1/2 | 1 | 1 | 2 | 37/200 | 1609/5000 | 9519671376
1.2.4 | 131/900 | 1/2 | 1/2 | 1 | 2 | 4 | 37/200 | 1609/5000 | 9804083202
1.2.5 | 131/900 | 1/2 | 1/2 | 1 | 4 | 8 | 37/200 | 1609/5000 | 9641676355
1.3.1 | 131/900 | 1/2 | 1 | 2 | 1609/5400 | 1/2 | 37/200 | 1609/5000 | 4220031305
1.3.2 | 131/900 | 1/2 | 1 | 2 | 1/2 | 1 | 37/200 | 1609/5000 | 7302152237
1.3.3 | 131/900 | 1/2 | 1 | 2 | 1 | 2 | 37/200 | 1609/5000 | 9549686044
1.3.40 | 131/900 | 1/2 | 1 | 2 | 2 | 3 | 37/200 | 1609/5000 | 9868060740
