FAMILY Q
Root a=[263/1800,56167/60000], lambda=[7/30,3/10].
Splits: tag | axis | midpoint
R | a | 194801/360000
R0 | lambda | 4/15
R00 | a | 27489/80000
R000 | lambda | 1/4
R0000 | a | 352601/1440000
R00001 | lambda | 29/120
R001 | lambda | 1/4
R0010 | a | 637003/1440000
R00100 | lambda | 29/120
R01 | a | 27489/80000
R1 | lambda | 4/15
R10 | a | 531803/720000
Empty boxes: tag | a lower | a upper | lambda lower | lambda upper
Leaves: tag | a lower | a upper | lambda lower | lambda upper | incoming numerator
  | total upper numerator
R00000 | 263/1800 | 352601/1440000 | 7/30 | 1/4 | 813758607 | 969443356
R000010 | 352601/1440000 | 27489/80000 | 7/30 | 29/120 | 828356622 | 984041371
R000011 | 352601/1440000 | 27489/80000 | 29/120 | 1/4 | 845224868 | 989443385
R0001 | 263/1800 | 27489/80000 | 1/4 | 4/15 | 863518761 | 997002648
R001000 | 27489/80000 | 637003/1440000 | 7/30 | 29/120 | 841949770 | 997634519
R001001 | 27489/80000 | 637003/1440000 | 29/120 | 1/4 | 843683362 | 987901879
R00101 | 637003/1440000 | 194801/360000 | 7/30 | 1/4 | 830694238 | 986378987
R0011 | 27489/80000 | 194801/360000 | 1/4 | 4/15 | 860872797 | 994356684
R010 | 263/1800 | 27489/80000 | 4/15 | 3/10 | 869877656 | 983931515
R011 | 27489/80000 | 194801/360000 | 4/15 | 3/10 | 860753183 | 974807042
R100 | 194801/360000 | 531803/720000 | 7/30 | 4/15 | 832607876 | 988292625
R101 | 531803/720000 | 56167/60000 | 7/30 | 4/15 | 709767651 | 865452400
R11 | 194801/360000 | 56167/60000 | 4/15 | 3/10 | 844371055 | 958424914
Leaf R00000: l | r | polynomial | upper numerator
0 | 1279809/3526010 | B1 | 829913
1279809/3526010 | 8958663/10282070 | 0:Nlo | 263398157
8958663/10282070 | 9/10 | 0:Nhi | 56060257
9/10 | 387/400 | 0:Nhi | 181731750
387/400 | 99/100 | 1:Q | 70277525
99/100 | 7378882/7452675 | B11/25 | 285581
7378882/7452675 | 1485565165830144/1451426664017975 | 1:Q | 91512949
1485565165830144/1451426664017975 | 742782582915072/725713331938675 | B11/25 | 4
742782582915072/725713331938675 | 26/25 | 1:A | 40527859
26/25 | 27/25 | 1:A | 109134612
Incoming sum 813758607.
Leaf R000010: l | r | polynomial | upper numerator
0 | 142201/274890 | B1 | 9913022
142201/274890 | 995407/1124230 | 0:Nlo | 314149868
995407/1124230 | 9/10 | 0:Nhi | 29846188
9/10 | 137889321/143864200 | 0:Nhi | 152235546
137889321/143864200 | 1180219834630144/1157825384017975 | 1:Q | 162893876
1180219834630144/1157825384017975 | 590109917315072/578912691938675 | B11/25 | 4
590109917315072/578912691938675 | 26/25 | 1:A | 50183506
26/25 | 27/25 | 1:A | 109134612
Incoming sum 828356622.
Leaf R000011: l | r | polynomial | upper numerator
0 | 142201/274890 | B1 | 9913022
142201/274890 | 995407/1124230 | 0:Nlo | 314149866
995407/1124230 | 9/10 | 0:Nhi | 29846188
9/10 | 387/400 | 0:Nhi | 181143404
387/400 | 99/100 | 1:Q | 70277525
99/100 | 7378882/7452675 | B11/25 | 285581
7378882/7452675 | 1485565165830144/1451426664017975 | 1:Q | 91512949
1485565165830144/1451426664017975 | 742782582915072/725713331938675 | B11/25 | 4
742782582915072/725713331938675 | 26/25 | 1:A | 40527860
26/25 | 107/100 | 1:A | 79500456
107/100 | 27/25 | P | 28068013
Incoming sum 845224868.
Leaf R0001: l | r | polynomial | upper numerator
0 | 142201/274890 | B1 | 9913022
142201/274890 | 995407/1124230 | 0:Nlo | 314149864
995407/1124230 | 9/10 | 0:Nhi | 29846188
9/10 | 99/100 | 0:Nhi | 261607229
99/100 | 31236646/31108025 | B11/25 | 42785046
31236646/31108025 | 2096255828230144/2038629224017975 | 1:Q | 69982315
2096255828230144/2038629224017975 | 1048127914115072/1019314611938675 | B11/25 | 4
1048127914115072/1019314611938675 | 26/25 | 1:A | 29261065
26/25 | 107/100 | 1:A | 79500456
107/100 | 27/25 | P | 26473572
Incoming sum 863518761.
Leaf R001000: l | r | polynomial | upper numerator
0 | 3839427/6370030 | B1 | 28898453
3839427/6370030 | 26875989/30190210 | 0:Nlo | 326914319
26875989/30190210 | 9/10 | 0:Nhi | 20327545
9/10 | 67542737/71932100 | 0:Nhi | 94925804
67542737/71932100 | 426603/424670 | 0:Hlip | 175867000
426603/424670 | 2512378/2497575 | 0:H | 3488093
2512378/2497575 | 1180219834630144/1157825384017975 | 1:Q | 33383389
1180219834630144/1157825384017975 | 590109917315072/578912691938675 | 0:H | 4
590109917315072/578912691938675 | 26/25 | 1:A | 50183506
26/25 | 251571630771273/233926747998950 | 1:A | 95383774
251571630771273/233926747998950 | 27/25 | P | 12577883
Incoming sum 841949770.
Leaf R001001: l | r | polynomial | upper numerator
0 | 3839427/6370030 | B1 | 28898453
3839427/6370030 | 26875989/30190210 | 0:Nlo | 326914319
26875989/30190210 | 9/10 | 0:Nhi | 20327545
9/10 | 189/200 | 0:Nhi | 111774947
189/200 | 426603/424670 | 0:Hlip | 159298186
426603/424670 | 3162378/3122575 | 0:H | 21214892
3162378/3122575 | 1485565165830144/1451426664017975 | 1:Q | 27700606
1485565165830144/1451426664017975 | 742782582915072/725713331938675 | 0:H | 4
742782582915072/725713331938675 | 26/25 | 1:A | 40527860
26/25 | 502074004474953/467853495997900 | 1:A | 88638650
502074004474953/467853495997900 | 27/25 | P | 18387900
Incoming sum 843683362.
Leaf R00101: l | r | polynomial | upper numerator
0 | 1279809/1948010 | B1 | 52829666
1279809/1948010 | 8958663/10036070 | 0:Nlo | 323513304
8958663/10036070 | 9/10 | 0:Nhi | 15410900
9/10 | 3706227/3970030 | 0:Nhi | 80138824
3706227/3970030 | 3839427/3970030 | 0:Hlip | 75571307
3839427/3970030 | 3162378/3122575 | 0:H | 105867156
3162378/3122575 | 1485565165830144/1451426664017975 | 1:Q | 27700606
1485565165830144/1451426664017975 | 742782582915072/725713331938675 | 0:H | 4
742782582915072/725713331938675 | 26/25 | 1:A | 40527859
26/25 | 27/25 | 1:A | 109134612
Incoming sum 830694238.
Leaf R0011: l | r | polynomial | upper numerator
0 | 1279809/1948010 | B1 | 52829666
1279809/1948010 | 8958663/10036070 | 0:Nlo | 323513303
8958663/10036070 | 9/10 | 0:Nhi | 15410900
9/10 | 72843933/77961200 | 0:Nhi | 82423756
72843933/77961200 | 426603/424670 | 0:Hlip | 188571202
426603/424670 | 4462378/4372575 | 0:H | 42361509
4462378/4372575 | 2096255828230144/2038629224017975 | 1:Q | 20622951
2096255828230144/2038629224017975 | 1048127914115072/1019314611938675 | 0:H | 4
1048127914115072/1019314611938675 | 26/25 | 1:A | 29261065
26/25 | 25050237370368/23392674799895 | 1:A | 81979167
25050237370368/23392674799895 | 27/25 | P | 23899274
Incoming sum 860872797.
Leaf R010: l | r | polynomial | upper numerator
0 | 142201/274890 | B1 | 9913022
142201/274890 | 995407/1124230 | 0:Nlo | 314149864
995407/1124230 | 9/10 | 0:Nhi | 29846188
9/10 | 99/100 | 0:Nhi | 261607230
99/100 | 16478882/16202675 | B11/25 | 85158758
16478882/16202675 | 3317637153030144/3213034344017975 | 1:Q | 47389333
3317637153030144/3213034344017975 | 1658818576515072/1606517171938675 | B11/25 | 4
1658818576515072/1606517171938675 | 26/25 | 1:A | 18802403
26/25 | 107/100 | 1:A | 79500456
107/100 | 27/25 | P | 23510398
Incoming sum 869877656.
Leaf R011: l | r | polynomial | upper numerator
0 | 1279809/1948010 | B1 | 52829666
1279809/1948010 | 8958663/10036070 | 0:Nlo | 323513303
8958663/10036070 | 9/10 | 0:Nhi | 15410900
9/10 | 6182767/6553400 | 0:Nhi | 107360681
6182767/6553400 | 426603/424670 | 0:Hlip | 163579115
426603/424670 | 7062378/6872575 | 0:H | 62436092
7062378/6872575 | 3317637153030144/3213034344017975 | 1:Q | 13623141
3317637153030144/3213034344017975 | 1658818576515072/1606517171938675 | 0:H | 4
1658818576515072/1606517171938675 | 26/25 | 1:A | 18802403
26/25 | 50100474740736/46785349627915 | 1:A | 81979163
50100474740736/46785349627915 | 27/25 | P | 21218715
Incoming sum 860753183.
Leaf R100: l | r | polynomial | upper numerator
0 | 3839427/5318030 | B1 | 102237314
3839427/5318030 | 26875989/30026210 | 0:Nlo | 299490699
26875989/30026210 | 9/10 | 0:Nhi | 10385903
9/10 | 2666775033687/2883201972580 | 0:Nhi | 57859512
2666775033687/2883201972580 | 1279809/1348010 | 0:Hlip | 50784941
1279809/1348010 | 4814913/4747145 | 0:H | 143635414
4814913/4747145 | 1130931695910912/1105749940867105 | 1:Q | 21902454
1130931695910912/1105749940867105 | 565465847955456/552874970391365 | 0:H | 4
565465847955456/552874970391365 | 26/25 | 1:A | 41444817
26/25 | 27/25 | 1:A | 104866818
Incoming sum 832607876.
Leaf R101: l | r | polynomial | upper numerator
0 | 21273141/28586275 | B1 | 126391646
21273141/28586275 | 500683830235707/540627909014200 | 1:Q | 296835254
500683830235707/540627909014200 | 3839427/4118030 | 0:Hlip | 10823563
3839427/4118030 | 21273141/22586275 | 0:H | 15843081
21273141/22586275 | 2498328570888192/2606222011125925 | 1:Q | 28436576
2498328570888192/2606222011125925 | 1249164285444096/1303111005352025 | 0:H | 4
1249164285444096/1303111005352025 | 26/25 | 1:A | 145803169
26/25 | 27/25 | 1:A | 85634358
Incoming sum 709767651.
Leaf R11: l | r | polynomial | upper numerator
0 | 426603/561670 | B1 | 145813840
426603/561670 | 2986221/3331690 | 0:Nlo | 271113217
2986221/3331690 | 9/10 | 0:Nhi | 7831932
9/10 | 1246509/1348010 | 0:Nhi | 57278723
1246509/1348010 | 1279809/1348010 | 0:Hlip | 51324133
1279809/1348010 | 161937/158105 | 0:H | 171094673
161937/158105 | 1863760490790912/1810393012867105 | 1:Q | 14188928
1863760490790912/1810393012867105 | 931880245395456/905196506391365 | 0:H | 4
931880245395456/905196506391365 | 26/25 | 1:A | 25823678
26/25 | 107/100 | 1:A | 76391529
107/100 | 27/25 | P | 23510398
Incoming sum 844371055.
FAMILY M
Root a=[263/1800,56167/60000], lambda=[7/30,3/10].
Splits: tag | axis | midpoint
R | a | 194801/360000
R0 | lambda | 4/15
R00 | a | 27489/80000
R000 | lambda | 1/4
R0000 | a | 352601/1440000
R00001 | lambda | 29/120
R000010 | a | 847403/2880000
R0000101 | lambda | 19/80
R00001011 | a | 1837007/5760000
R000011 | a | 847403/2880000
R0000110 | lambda | 59/240
R0000111 | lambda | 59/240
R00001110 | a | 1837007/5760000
R0001 | a | 352601/1440000
R00011 | lambda | 31/120
R000110 | a | 847403/2880000
R000111 | a | 847403/2880000
R001 | lambda | 1/4
R0010 | a | 637003/1440000
R00100 | lambda | 29/120
R001000 | a | 226361/576000
R0010000 | lambda | 19/80
R00100000 | a | 2121409/5760000
R00100001 | a | 2121409/5760000
R001001 | a | 226361/576000
R00101 | lambda | 29/120
R001010 | a | 472069/960000
R0011 | a | 637003/1440000
R01 | a | 27489/80000
R1 | lambda | 4/15
R10 | a | 531803/720000
R100 | lambda | 1/4
R1000 | a | 61427/96000
R10000 | lambda | 29/120
R100000 | a | 1700609/2880000
Empty boxes: tag | a lower | a upper | lambda lower | lambda upper
Leaves: tag | a lower | a upper | lambda lower | lambda upper | incoming numerator
  | total upper numerator
R00000 | 263/1800 | 352601/1440000 | 7/30 | 1/4 | 839955288 | 995640037
R0000100 | 352601/1440000 | 847403/2880000 | 7/30 | 29/120 | 842938568 | 998623317
R00001010 | 847403/2880000 | 27489/80000 | 7/30 | 19/80 | 842792129 | 998476878
R000010110 | 847403/2880000 | 1837007/5760000 | 19/80 | 29/120 | 844632744 |
  994490401
R000010111 | 1837007/5760000 | 27489/80000 | 19/80 | 29/120 | 845414509 |
  995272166
R00001100 | 352601/1440000 | 847403/2880000 | 29/120 | 59/240 | 851055114 |
  995273631
R00001101 | 352601/1440000 | 847403/2880000 | 59/240 | 1/4 | 854770472 | 993532722
R000011100 | 847403/2880000 | 1837007/5760000 | 29/120 | 59/240 | 849423362 |
  993641879
R000011101 | 1837007/5760000 | 27489/80000 | 29/120 | 59/240 | 848898447 |
  993116964
R00001111 | 847403/2880000 | 27489/80000 | 59/240 | 1/4 | 859568669 | 998330919
R00010 | 263/1800 | 352601/1440000 | 1/4 | 4/15 | 845361831 | 978845718
R0001100 | 352601/1440000 | 847403/2880000 | 1/4 | 31/120 | 859265415 | 992749302
R0001101 | 847403/2880000 | 27489/80000 | 1/4 | 31/120 | 864048902 | 997532789
R0001110 | 352601/1440000 | 847403/2880000 | 31/120 | 4/15 | 861372811 | 984814350
R0001111 | 847403/2880000 | 27489/80000 | 31/120 | 4/15 | 865493821 | 988935360
R001000000 | 27489/80000 | 2121409/5760000 | 7/30 | 19/80 | 840161189 | 995845938
R001000001 | 2121409/5760000 | 226361/576000 | 7/30 | 19/80 | 839480216 |
  995164965
R001000010 | 27489/80000 | 2121409/5760000 | 19/80 | 29/120 | 843860486 |
  993718143
R001000011 | 2121409/5760000 | 226361/576000 | 19/80 | 29/120 | 840024211 |
  989881868
R0010001 | 226361/576000 | 637003/1440000 | 7/30 | 29/120 | 842314654 | 997999403
R0010010 | 27489/80000 | 226361/576000 | 29/120 | 1/4 | 851043418 | 995261935
R0010011 | 226361/576000 | 637003/1440000 | 29/120 | 1/4 | 842803333 | 987021850
R0010100 | 637003/1440000 | 472069/960000 | 7/30 | 29/120 | 839412464 | 995097213
R0010101 | 472069/960000 | 194801/360000 | 7/30 | 29/120 | 839173323 | 994858072
R001011 | 637003/1440000 | 194801/360000 | 29/120 | 1/4 | 846223072 | 990441589
R00110 | 27489/80000 | 637003/1440000 | 1/4 | 4/15 | 861071699 | 994555586
R00111 | 637003/1440000 | 194801/360000 | 1/4 | 4/15 | 845389498 | 978873385
R010 | 263/1800 | 27489/80000 | 4/15 | 3/10 | 883493106 | 997546965
R011 | 27489/80000 | 194801/360000 | 4/15 | 3/10 | 872490155 | 986544014
R1000000 | 194801/360000 | 1700609/2880000 | 7/30 | 29/120 | 838554563 | 994239312
R1000001 | 1700609/2880000 | 61427/96000 | 7/30 | 29/120 | 827004839 | 982689588
R100001 | 194801/360000 | 61427/96000 | 29/120 | 1/4 | 843257192 | 987475709
R10001 | 61427/96000 | 531803/720000 | 7/30 | 1/4 | 820950855 | 976635604
R1001 | 194801/360000 | 531803/720000 | 1/4 | 4/15 | 851645932 | 985129819
R101 | 531803/720000 | 56167/60000 | 7/30 | 4/15 | 796963934 | 952648683
R11 | 194801/360000 | 56167/60000 | 4/15 | 3/10 | 862059757 | 976113616
Leaf R00000: l | r | polynomial | upper numerator
0 | 1279809/3526010 | B1 | 829913
1279809/3526010 | 8958663/10282070 | 0:Nlo | 263398159
8958663/10282070 | 9/10 | 0:Nhi | 56060255
9/10 | 104142477/106082800 | 0:Nhi | 230887479
104142477/106082800 | 99/100 | 1:Nhi | 30629883
99/100 | 22096209/22160600 | B11/25 | 21019474
22096209/22160600 | 2781678/2770075 | 1:Hlip | 20427323
2781678/2770075 | 245530453/239766600 | 1:H | 53102626
245530453/239766600 | 26/25 | 1:R | 44322292
26/25 | 107/100 | 1:R | 89536180
107/100 | 27/25 | P | 29741704
Incoming sum 839955288.
Leaf R0000100: l | r | polynomial | upper numerator
0 | 3839427/8474030 | B1 | 3919541
3839427/8474030 | 26875989/30518210 | 0:Nlo | 296069957
26875989/30518210 | 9/10 | 0:Nhi | 38961972
