FAMILY Q
Root: a_l | a_h | b_l | b_h | lambda_l | lambda_h | theta_l | theta_h
147/1000 | 267701/180000 | 2017/10400 | 198301/40000 | 7/30 | 2/5 | 0 | 1
Splits: parent tag | axis(0=a,1=b,2=lambda,3=theta) | midpoint
R | 0 | 294161/360000
R0 | 1 | 2678763/1040000
R00 | 2 | 19/60
R000 | 3 | 1/2
R0000 | 0 | 347081/720000
R00000 | 1 | 2880463/2080000
R000000 | 2 | 11/40
R0000000 | 3 | 1/4
R00000001 | 0 | 452921/1440000
R000000011 | 1 | 3283863/4160000
R00001 | 1 | 2880463/2080000
R000010 | 2 | 11/40
R0000100 | 3 | 1/4
R00001001 | 0 | 311801/480000
R000010010 | 1 | 3283863/4160000
R0000101 | 3 | 1/4
R00001011 | 0 | 311801/480000
R0001 | 0 | 347081/720000
R00010 | 1 | 2880463/2080000
R000100 | 2 | 11/40
R0001000 | 3 | 3/4
R00010000 | 0 | 452921/1440000
R000100000 | 1 | 3283863/4160000
R0001000001 | 2 | 61/240
R000100001 | 1 | 3283863/4160000
R0001000011 | 2 | 61/240
R00010000110 | 3 | 5/8
R000100001101 | 0 | 382361/960000
R0001000011010 | 1 | 695753/640000
R0001000011011 | 1 | 695753/640000
R00010000111 | 3 | 5/8
R000100001111 | 0 | 382361/960000
R0001000011111 | 1 | 695753/640000
R00010001 | 0 | 452921/1440000
R000100010 | 1 | 3283863/4160000
R0001000101 | 2 | 61/240
R000100011 | 1 | 3283863/4160000
R0001000111 | 2 | 61/240
R00010001110 | 3 | 7/8
R000100011100 | 0 | 382361/960000
R0001000111000 | 1 | 695753/640000
R00010001110001 | 2 | 39/160
R0001000111001 | 1 | 695753/640000
R00010001110010 | 2 | 39/160
R00010001110011 | 2 | 39/160
R000100011100111 | 3 | 13/16
R0001000111001111 | 0 | 2535407/5760000
R00010001110011111 | 1 | 20566641/16640000
R000100011101 | 0 | 382361/960000
R0001000111010 | 1 | 695753/640000
R00010001110101 | 2 | 39/160
R0001000111011 | 1 | 695753/640000
R00010001110110 | 2 | 39/160
R00010001110111 | 2 | 39/160
R000100011101111 | 3 | 15/16
R0001000111011110 | 0 | 2535407/5760000
R00010001110111101 | 1 | 20566641/16640000
R000100011101111011 | 2 | 239/960
R0001000111011111 | 0 | 2535407/5760000
R00010001110111111 | 1 | 20566641/16640000
R000100011101111111 | 2 | 239/960
R00010001111 | 3 | 7/8
R000100011110 | 0 | 382361/960000
R0001000111101 | 1 | 695753/640000
R00010001111011 | 2 | 127/480
R000100011110110 | 3 | 13/16
R000100011111 | 0 | 382361/960000
R0001000111111 | 1 | 695753/640000
R0001001 | 3 | 3/4
R00010010 | 0 | 452921/1440000
R000101 | 2 | 11/40
R0001010 | 3 | 3/4
R00010101 | 0 | 452921/1440000
R000101010 | 1 | 8237989/4160000
R0001010100 | 2 | 61/240
R000101011 | 1 | 8237989/4160000
R0001010110 | 2 | 61/240
R00010101101 | 3 | 7/8
R000101011010 | 0 | 382361/960000
R0001010110100 | 1 | 2799783/1664000
R0001010110101 | 1 | 2799783/1664000
R00010101101010 | 2 | 127/480
R000101011010100 | 3 | 13/16
R000101011011 | 0 | 382361/960000
R0001010110110 | 1 | 2799783/1664000
R0001010110111 | 1 | 2799783/1664000
R00010101101110 | 2 | 127/480
R000101011011100 | 3 | 15/16
R0001010110111000 | 0 | 2535407/5760000
R00010101101110001 | 1 | 25520767/16640000
R000101011011100010 | 2 | 83/320
R000101011011100011 | 2 | 83/320
R0001010110111001 | 0 | 2535407/5760000
R00010101101110010 | 1 | 25520767/16640000
R00010101101110011 | 1 | 25520767/16640000
R000101011011100110 | 2 | 83/320
R000101011011100111 | 2 | 83/320
R00010101101111 | 2 | 127/480
R000101011011111 | 3 | 15/16
R0001010110111111 | 0 | 2535407/5760000
R00010101101111111 | 1 | 30474893/16640000
R000101011011111110 | 2 | 259/960
R0001011 | 3 | 3/4
R00010111 | 0 | 452921/1440000
R000101111 | 1 | 8237989/4160000
R0001011110 | 2 | 71/240
R00010111100 | 3 | 7/8
R00011 | 1 | 2880463/2080000
R000110 | 2 | 11/40
R0001100 | 3 | 3/4
R00011000 | 0 | 311801/480000
R000110000 | 1 | 3283863/4160000
R0001100001 | 2 | 61/240
R00011000010 | 3 | 5/8
R000110000100 | 0 | 325913/576000
R000110000101 | 0 | 325913/576000
R0001100001010 | 1 | 695753/640000
R00011000010100 | 2 | 39/160
R000110000101000 | 3 | 11/16
R000110000101001 | 3 | 11/16
R00011000011 | 3 | 5/8
R000110000111 | 0 | 325913/576000
R0001100001110 | 1 | 695753/640000
R000110001 | 1 | 3283863/4160000
R00011001 | 0 | 311801/480000
R000110010 | 1 | 3283863/4160000
R0001100101 | 2 | 61/240
R00011001010 | 3 | 7/8
R000110010100 | 0 | 325913/576000
R0001100101000 | 1 | 695753/640000
R00011001010000 | 2 | 39/160
R000110010100000 | 3 | 13/16
R0001100101000000 | 0 | 335321/640000
R00011001010000000 | 1 | 3122503/3328000
R0001100101000001 | 0 | 335321/640000
R00011001010000010 | 1 | 3122503/3328000
R00011001010001 | 2 | 39/160
R000110010100011 | 3 | 13/16
R0001100101000110 | 0 | 335321/640000
R0001100101000111 | 0 | 335321/640000
R00011001010001110 | 1 | 20566641/16640000
R000110010100011100 | 2 | 239/960
R000110010100011101 | 2 | 239/960
R000110010101 | 0 | 325913/576000
R0001100101010 | 1 | 695753/640000
R00011001010100 | 2 | 39/160
R000110010101000 | 3 | 15/16
R0001100101010000 | 0 | 335321/640000
R00011001010100000 | 1 | 3122503/3328000
R000110010101000001 | 2 | 229/960
R0001100101010001 | 0 | 335321/640000
R00011001010100010 | 1 | 3122503/3328000
R000110010101000101 | 2 | 229/960
R00011001010101 | 2 | 39/160
R000110010101011 | 3 | 15/16
R0001100101010110 | 0 | 335321/640000
R00011001010101100 | 1 | 20566641/16640000
R000110010101011000 | 2 | 239/960
R000110010101011001 | 2 | 239/960
R0001100101010110011 | 3 | 29/32
R00011001010101100111 | 0 | 5794537/11520000
R0001100101010111 | 0 | 335321/640000
R00011001010101110 | 1 | 20566641/16640000
R000110010101011100 | 2 | 239/960
R0001100101010111000 | 3 | 31/32
R000110010101011101 | 2 | 239/960
R0001100101010111011 | 3 | 31/32
R00011001010101110110 | 0 | 5794537/11520000
R00011001010101110111 | 0 | 5794537/11520000
R00011001011 | 3 | 7/8
R000110010110 | 0 | 325913/576000
R0001100101100 | 1 | 695753/640000
R00011001011001 | 2 | 127/480
R000110010110010 | 3 | 13/16
R0001100101100100 | 0 | 335321/640000
R00011001011001000 | 1 | 20566641/16640000
R0001100101100101 | 0 | 335321/640000
R00011001011001010 | 1 | 20566641/16640000
R000110010111 | 0 | 325913/576000
R0001100101110 | 1 | 695753/640000
R00011001011101 | 2 | 127/480
R000110010111010 | 3 | 15/16
R0001100101110100 | 0 | 335321/640000
R00011001011101000 | 1 | 20566641/16640000
R0001100101110101 | 0 | 335321/640000
R00011001011101010 | 1 | 20566641/16640000
R000110010111010101 | 2 | 83/320
R0001100101110101010 | 3 | 31/32
R00011001011101010101 | 0 | 5794537/11520000
R000110011 | 1 | 3283863/4160000
R0001100111 | 2 | 61/240
R0001101 | 3 | 3/4
R00011010 | 0 | 311801/480000
R000110100 | 1 | 3283863/4160000
R0001101001 | 2 | 71/240
R00011010010 | 3 | 5/8
R00011011 | 0 | 311801/480000
R000110110 | 1 | 3283863/4160000
R0001101101 | 2 | 71/240
R00011011010 | 3 | 7/8
R000111 | 2 | 11/40
R0001110 | 3 | 3/4
R00011100 | 0 | 311801/480000
R000111000 | 1 | 8237989/4160000
R0001110000 | 2 | 61/240
R00011100001 | 3 | 5/8
R00011101 | 0 | 311801/480000
R000111010 | 1 | 8237989/4160000
R0001110100 | 2 | 61/240
R00011101001 | 3 | 7/8
R000111010010 | 0 | 325913/576000
R0001110100100 | 1 | 2799783/1664000
R00011101001000 | 2 | 127/480
R000111010010000 | 3 | 13/16
R0001110100100001 | 0 | 335321/640000
R00011101001000010 | 1 | 25520767/16640000
R000111010010000100 | 2 | 83/320
R000111010010001 | 3 | 13/16
R0001110100100011 | 0 | 335321/640000
R00011101001000110 | 1 | 25520767/16640000
R000111010011 | 0 | 325913/576000
R0001110100110 | 1 | 2799783/1664000
R00011101001100 | 2 | 127/480
R000111010011000 | 3 | 15/16
R0001110100110000 | 0 | 335321/640000
R00011101001100000 | 1 | 25520767/16640000
R000111010011000000 | 2 | 83/320
R0001110100110000000 | 3 | 29/32
R00011101001100000000 | 0 | 5794537/11520000
R00011101001100000001 | 0 | 5794537/11520000
R0001110100110000001 | 3 | 29/32
R00011101001100000010 | 0 | 5794537/11520000
R00011101001100000011 | 0 | 5794537/11520000
R000111010011000001 | 2 | 83/320
R0001110100110000011 | 3 | 29/32
R00011101001100000111 | 0 | 5794537/11520000
R00011101001100001 | 1 | 25520767/16640000
R000111010011000010 | 2 | 83/320
R0001110100110001 | 0 | 335321/640000
R00011101001100010 | 1 | 25520767/16640000
R000111010011000100 | 2 | 83/320
R0001110100110001000 | 3 | 31/32
R00011101001100010000 | 0 | 5794537/11520000
R00011101001100010001 | 0 | 5794537/11520000
R0001110100110001001 | 3 | 31/32
R00011101001100010010 | 0 | 5794537/11520000
R00011101001100010011 | 0 | 5794537/11520000
R000111010011000100111 | 1 | 48564471/33280000
R000111010011000101 | 2 | 83/320
R0001110100110001011 | 3 | 31/32
R00011101001100010110 | 0 | 5794537/11520000
R00011101001100010111 | 0 | 5794537/11520000
R000111010011000101110 | 1 | 53518597/33280000
R0001110100110001011100 | 2 | 503/1920
R00011101001100011 | 1 | 25520767/16640000
R000111010011000110 | 2 | 83/320
R000111010011001 | 3 | 15/16
R0001110100110010 | 0 | 335321/640000
R00011101001100100 | 1 | 25520767/16640000
R000111010011001001 | 2 | 259/960
R0001110100110010010 | 3 | 29/32
R00011101001100100101 | 0 | 5794537/11520000
R00011101001100101 | 1 | 25520767/16640000
R0001110100110011 | 0 | 335321/640000
R00011101001100110 | 1 | 25520767/16640000
R000111010011001101 | 2 | 259/960
R0001110100110011010 | 3 | 31/32
R00011101001100110100 | 0 | 5794537/11520000
R00011101001100110101 | 0 | 5794537/11520000
R00011101001100111 | 1 | 25520767/16640000
R00011101001101 | 2 | 127/480
