S5/Q SIX-PARAMETER rational certificate.
Root: a_l | a_h | b_l | b_h | lambda_l | lambda_h | theta_l | theta_h | z_l | z_h
  | alpha_l | alpha_h
147/1000 | 267701/180000 | 2017/10400 | 198301/40000 | 7/30 | 2/5 | 0 | 1 | 0 |
  1/5 | 0 | 1
Splits: parent | axis(0=a,1=b,2=lambda,3=theta,4=z,5=alpha) | midpoint
R | 0 | 294161/360000
R0 | 1 | 2678763/1040000
R00 | 2 | 19/60
R000 | 3 | 1/2
R0000 | 4 | 1/10
R00000 | 5 | 1/2
R000000 | 0 | 347081/720000
R0000000 | 1 | 2880463/2080000
R0000001 | 1 | 2880463/2080000
R00000010 | 2 | 11/40
R000000100 | 3 | 1/4
R0000001001 | 4 | 1/20
R00000010011 | 5 | 1/4
R000000100111 | 0 | 311801/480000
R000001 | 0 | 347081/720000
R00001 | 5 | 1/2
R000010 | 0 | 347081/720000
R0000100 | 1 | 2880463/2080000
R00001000 | 2 | 11/40
R000010000 | 3 | 1/4
R0000100001 | 4 | 3/20
R00001000011 | 5 | 1/4
R000010000110 | 0 | 452921/1440000
R000010000111 | 0 | 452921/1440000
R0000100001111 | 1 | 3283863/4160000
R0000101 | 1 | 2880463/2080000
R00001010 | 2 | 11/40
R000010100 | 3 | 1/4
R0000101001 | 4 | 3/20
R00001010010 | 5 | 1/4
R000010100101 | 0 | 311801/480000
R0000101001010 | 1 | 3283863/4160000
R00001010011 | 5 | 1/4
R000010100110 | 0 | 311801/480000
R000010100111 | 0 | 311801/480000
R0000101001110 | 1 | 3283863/4160000
R000011 | 0 | 347081/720000
R0000110 | 1 | 2880463/2080000
R00001100 | 2 | 11/40
R000011000 | 3 | 1/4
R0000110001 | 4 | 3/20
R0001 | 4 | 1/10
R00010 | 5 | 1/2
R000100 | 0 | 347081/720000
R0001000 | 1 | 2880463/2080000
R00010000 | 2 | 11/40
R000100000 | 3 | 3/4
R0001000000 | 4 | 1/20
R00010000001 | 5 | 1/4
R000100000010 | 0 | 452921/1440000
R000100000011 | 0 | 452921/1440000
R0001000000111 | 1 | 3283863/4160000
R0001000001 | 4 | 1/20
R00010000011 | 5 | 1/4
R000100000110 | 0 | 452921/1440000
R000100000111 | 0 | 452921/1440000
R0001000001111 | 1 | 3283863/4160000
R00010001 | 2 | 11/40
R000100010 | 3 | 3/4
R0001000101 | 4 | 1/20
R00010001011 | 5 | 1/4
R000100010110 | 0 | 452921/1440000
R000100010111 | 0 | 452921/1440000
R0001000101111 | 1 | 8237989/4160000
R00010001011110 | 2 | 61/240
R0001001 | 1 | 2880463/2080000
R00010010 | 2 | 11/40
R000100100 | 3 | 3/4
R0001001000 | 4 | 1/20
R00010010000 | 5 | 1/4
R000100100001 | 0 | 311801/480000
R00010010001 | 5 | 1/4
R000100100011 | 0 | 311801/480000
R0001001000110 | 1 | 3283863/4160000
