FAMILY Q
Root R = [36/125,2/5]. Splits: tag | midpoint
R | 43/125
Leaves: tag | lambda lower | lambda upper | total numerator
R0 | 36/125 | 43/125 | 896490743
R1 | 43/125 | 2/5 | 933062965
Leaf R0: l | r | polynomial | upper numerator
0 | 1681209/2130010 | B1 | 190844854
1681209/2130010 | 11768463/13110070 | 0:Nlo | 252709824
11768463/13110070 | 9/10 | 0:Nhi | 5147789
9/10 | 8869123/9424600 | 0:Nhi | 104641620
8869123/9424600 | 2038005334278144/2085605428817975 | 1:Q | 82822771
2038005334278144/2085605428817975 | 1019002667139072/1042802714338675 | 0:Nhi | 4
1019002667139072/1042802714338675 | 26/25 | 1:A | 101658578
26/25 | 27/25 | 1:A | 61705130
27/25 | 29/25 | P | 96960173
Sum 896490743 < 990000000.
Leaf R1: l | r | polynomial | upper numerator
0 | 242801/298890 | B1 | 233439102
242801/298890 | 1699607/1892230 | 0:Nlo | 217363102
1699607/1892230 | 9/10 | 0:Nhi | 3969967
9/10 | 99/100 | 0:Nhi | 270834273
99/100 | 20314882/20402675 | B11/25 | 16807830
20314882/20402675 | 4089925959942144/4058606030417975 | 1:Q | 32055850
4089925959942144/4058606030417975 | 2044962979971072/2029303015138675 | B11/25 | 4
2044962979971072/2029303015138675 | 26/25 | 1:A | 57772953
26/25 | 6593897/6136550 | 1:A | 52421484
6593897/6136550 | 27/25 | P | 7802777
27/25 | 29/25 | P | 40595623
Sum 933062965 < 990000000.

