id	a_lo	a_hi	d_lo	d_hi	numerator
1	5663/3600	3	5399983/18360000	20	861923898
2	3503/2880	5663/3600	372599983/36720000	20	865534401
3	3503/2880	5663/3600	127799983/24480000	372599983/36720000	872606719
4	3503/2880	5663/3600	404999881/146880000	127799983/24480000	879830962
5	3503/2880	5663/3600	5399983/18360000	404999881/146880000	897322255
6	2063/2400	3503/2880	372599983/36720000	20	889338719
7	2063/2400	3503/2880	127799983/24480000	372599983/36720000	899076501
8	2063/2400	3503/2880	1171799779/293760000	127799983/24480000	894016511
9	2063/2400	3503/2880	73399983/21760000	1171799779/293760000	891573091
10	2063/2400	3503/2880	404999881/146880000	73399983/21760000	893675727
11	2063/2400	3503/2880	1258199507/587520000	404999881/146880000	894445355
12	2063/2400	3503/2880	29879983/19584000	1258199507/587520000	890766600
13	2063/2400	3503/2880	534599473/587520000	29879983/19584000	876528296
14	2063/2400	3503/2880	5399983/18360000	534599473/587520000	721193103
15	19619/28800	2063/2400	372599983/36720000	20	880097035
16	19619/28800	2063/2400	127799983/24480000	372599983/36720000	889834817
17	19619/28800	2063/2400	1171799779/293760000	127799983/24480000	884774827
18	19619/28800	2063/2400	404999881/146880000	1171799779/293760000	892481223
19	19619/28800	2063/2400	1258199507/587520000	404999881/146880000	885203671
20	19619/28800	2063/2400	29879983/19584000	1258199507/587520000	881524916
21	19619/28800	2063/2400	5399983/18360000	29879983/19584000	891798821
22	7241/14400	19619/28800	372599983/36720000	20	879993000
23	7241/14400	19619/28800	127799983/24480000	372599983/36720000	889730782
24	7241/14400	19619/28800	1171799779/293760000	127799983/24480000	884670792
25	7241/14400	19619/28800	404999881/146880000	1171799779/293760000	892377187
26	7241/14400	19619/28800	1258199507/587520000	404999881/146880000	885099636
27	7241/14400	19619/28800	29879983/19584000	1258199507/587520000	881420881
28	7241/14400	19619/28800	5399983/18360000	29879983/19584000	891694786
29	23827/57600	7241/14400	372599983/36720000	20	874214822
30	23827/57600	7241/14400	127799983/24480000	372599983/36720000	883952604
31	23827/57600	7241/14400	404999881/146880000	127799983/24480000	897133292
32	23827/57600	7241/14400	29879983/19584000	404999881/146880000	895209320
33	23827/57600	7241/14400	5399983/18360000	29879983/19584000	885916608
34	42517/115200	23827/57600	372599983/36720000	20	872193818
35	42517/115200	23827/57600	127799983/24480000	372599983/36720000	881931601
36	42517/115200	23827/57600	404999881/146880000	127799983/24480000	895112289
37	42517/115200	23827/57600	29879983/19584000	404999881/146880000	893188317
38	42517/115200	23827/57600	5399983/18360000	29879983/19584000	883871742
39	623/1920	42517/115200	372599983/36720000	20	885206861
40	623/1920	42517/115200	127799983/24480000	372599983/36720000	894944643
41	623/1920	42517/115200	1171799779/293760000	127799983/24480000	889884653
42	623/1920	42517/115200	404999881/146880000	1171799779/293760000	897591049
43	623/1920	42517/115200	1258199507/587520000	404999881/146880000	890313498
44	623/1920	42517/115200	29879983/19584000	1258199507/587520000	886634742
45	623/1920	42517/115200	5399983/18360000	29879983/19584000	880751230
46	69623/230400	623/1920	2575799983/146880000	20	883804604
47	32243/115200	69623/230400	2575799983/146880000	20	895386268
48	13553/57600	32243/115200	2575799983/146880000	20	898698122
49	263/1800	13553/57600	2575799983/146880000	20	881919969
50	69623/230400	623/1920	1106999983/73440000	2575799983/146880000	884117386
51	32243/115200	69623/230400	1106999983/73440000	2575799983/146880000	895699050
52	13553/57600	32243/115200	1106999983/73440000	2575799983/146880000	899010904
53	263/1800	13553/57600	1106999983/73440000	2575799983/146880000	882232752
54	69623/230400	623/1920	813239983/58752000	1106999983/73440000	883451970
55	32243/115200	69623/230400	813239983/58752000	1106999983/73440000	895033634
56	13553/57600	32243/115200	813239983/58752000	1106999983/73440000	898345488
57	263/1800	13553/57600	813239983/58752000	1106999983/73440000	881567336
58	69623/230400	623/1920	617399983/48960000	813239983/58752000	883621462
59	32243/115200	69623/230400	617399983/48960000	813239983/58752000	895203126
60	13553/57600	32243/115200	617399983/48960000	813239983/58752000	898514980
61	263/1800	13553/57600	617399983/48960000	813239983/58752000	881736827
62	69623/230400	623/1920	3342599881/293760000	617399983/48960000	883876831
63	32243/115200	69623/230400	3342599881/293760000	617399983/48960000	895458495
64	13553/57600	32243/115200	3342599881/293760000	617399983/48960000	898770349
65	263/1800	13553/57600	3342599881/293760000	617399983/48960000	881992197
66	69623/230400	623/1920	372599983/36720000	3342599881/293760000	884269523
67	32243/115200	69623/230400	372599983/36720000	3342599881/293760000	895851187
68	13553/57600	32243/115200	372599983/36720000	3342599881/293760000	899163042
69	263/1800	13553/57600	372599983/36720000	3342599881/293760000	882384889
70	69623/230400	623/1920	329399983/34560000	372599983/36720000	883527606
71	32243/115200	69623/230400	329399983/34560000	372599983/36720000	895109270
72	13553/57600	32243/115200	329399983/34560000	372599983/36720000	898421124
73	263/1800	13553/57600	329399983/34560000	372599983/36720000	881642971
74	69623/230400	623/1920	290999983/32640000	329399983/34560000	883745510
75	32243/115200	69623/230400	290999983/32640000	329399983/34560000	895327174
76	13553/57600	32243/115200	290999983/32640000	329399983/34560000	898639028
77	263/1800	13553/57600	290999983/32640000	329399983/34560000	881860876
78	69623/230400	623/1920	4876199677/587520000	290999983/32640000	884035572
79	32243/115200	69623/230400	4876199677/587520000	290999983/32640000	895617236
80	13553/57600	32243/115200	4876199677/587520000	290999983/32640000	898929090
81	263/1800	13553/57600	4876199677/587520000	290999983/32640000	882150938
82	69623/230400	623/1920	225719983/29376000	4876199677/587520000	884424022
83	32243/115200	69623/230400	225719983/29376000	4876199677/587520000	896005686
84	13553/57600	32243/115200	225719983/29376000	4876199677/587520000	899317540
85	263/1800	13553/57600	225719983/29376000	4876199677/587520000	882539388
86	69623/230400	623/1920	1384199881/195840000	225719983/29376000	884945815
87	32243/115200	69623/230400	1384199881/195840000	225719983/29376000	896527479
88	13553/57600	32243/115200	1384199881/195840000	225719983/29376000	899839334
89	263/1800	13553/57600	1384199881/195840000	225719983/29376000	883061181
90	69623/230400	623/1920	7943399269/1175040000	1384199881/195840000	884210788
91	32243/115200	69623/230400	7943399269/1175040000	1384199881/195840000	895774614
92	13553/57600	32243/115200	7943399269/1175040000	1384199881/195840000	899104306
93	263/1800	13553/57600	7943399269/1175040000	1384199881/195840000	882326154
94	69623/230400	623/1920	1895399813/293760000	7943399269/1175040000	884490210
95	32243/115200	69623/230400	1895399813/293760000	7943399269/1175040000	896071874
96	13553/57600	32243/115200	1895399813/293760000	7943399269/1175040000	899383728
97	263/1800	13553/57600	1895399813/293760000	7943399269/1175040000	882605576
98	69623/230400	623/1920	160439983/26112000	1895399813/293760000	884813614
99	32243/115200	69623/230400	160439983/26112000	1895399813/293760000	896395278
100	13553/57600	32243/115200	160439983/26112000	1895399813/293760000	899707133
