id	lo	hi	numerator
1	5663/3600	3	803246545
2	3503/2880	5663/3600	859272763
3	2063/2400	3503/2880	882052888
4	7241/14400	2063/2400	885935330
5	23827/57600	7241/14400	866928992
6	623/1920	23827/57600	887953848
7	69623/230400	623/1920	883830025
8	14901/51200	69623/230400	887126681
9	263081/921600	14901/51200	887909716
10	32243/115200	263081/921600	889764971
11	510751/1843200	32243/115200	889559100
12	84269/307200	510751/1843200	890323724
13	500477/1843200	84269/307200	890605634
14	24767/92160	500477/1843200	890847313
15	54467/204800	24767/92160	890891718
16	242533/921600	54467/204800	890380829
17	19783/76800	242533/921600	890359892
18	13553/57600	19783/76800	890281142
19	263/1800	13553/57600	881945390
