name	value
ambient_a_tail_numerator	627860905
ambient_area	1858566687329/33048000000
ambient_d_tail_numerator	898876676
ambient_divisorial_bound	53975652627753217019/1000000000000000000000
ambient_incoming	315891331947925570507/500000000000000000000
ambient_large_slope_loss	44543599279432079/7812500000000000000
ambient_max_numerator	899892923
ambient_new_height	19574881/57375000
ambient_outgoing	7860756587864860626248390838442045303558341047/59119162918550643946713187123828125000000000000
cubic_affine_entry_slack	1357633/107919000
cubic_correction_max	451/1000
cubic_quartic_low_correction	477/1000
degree_three_mass	715899/1600000
degree_two_mass	1689744238069707817908429553/173005058827473920000000000000
degree_two_shift	8523441/9644000
direct_quartic_price	463961965/62269263
eta_grouped_price	7982791/999000
eta_noncubic_max	1205791/999000
eta_post_error_margin	821/99900
factorial_mass	188420987150292742295489880001/32053856100156250000000000000000
factorial_quartic_shift	2426571/4206250
factorial_quintic_shift	41786199/70212500
initial_mass	458771731542349/16000000000000000
quartic_intercept	379/1000
quintic_intercept	741/2500
rank_two_cubic_ratio	7552629/7814000
rank_two_cubic_uniform_shift	839181/1660475
rank_two_distinct_factor_quartic	247341737/31158000
rank_two_initial_price	310692229/38947500
rank_two_mass	15402539679/3200000000000
rank_two_quartic_coefficient	2426571/7121600
rank_two_quartic_deficit	6996401/4044285
rank_two_quartic_shift	20989203/35608000
rank_two_small_deficit_affine	1169868403/155790000
rank_two_terminal_affine	3836449/513000
rank_two_terminal_price	4086217/513000
shift_factor_3	37125/12803
shift_factor_4	1728/673
shift_factor_5	14175/5617
terminal_mesh_mass	541084214040859614275582771919703/70434738071778049392640000000000000
