d	e	m	lambda_b3	theta_b3	lambda_b18_5	J_eta
1	1	1	111700/15579	3520/513	113845/15579	0
2	2	1	111700/15579	3520/513	113845/15579	0
2	3	2	23148857/3115800	741179/102600	23577857/3115800	82717/199800
2	4	3	58849469/7789500	1876343/256500	59921969/7789500	731267/1498500
2	5	4	118279/15579	3763/513	120424/15579	499/999
2	6	5	296100223/38947500	9407581/1282500	301462723/38947500	1234763/2497500
3	3	1	23148857/3115800	741179/102600	23577857/3115800	82717/199800
3	4	2	237287027/31158000	7708169/1026000	241577027/31158000	1507487/1998000
3	4	3	116180497/15579000	3720259/513000	118325497/15579000	441557/999000
3	5	3	24435887/3115800	790589/102600	24864887/3115800	557441/599400
3	5	4	476016763/62316000	15252961/2052000	484596763/62316000	2490503/3996000
3	5	5	58442027/7789500	1861169/256500	59514527/7789500	70829/166500
3	5	6	57570437/7789500	1825439/256500	58642937/7789500	408091/1498500
3	6	4	60824363/7789500	1009411/128250	61896863/7789500	90451/83250
3	6	5	15155459/1947375	485873/64125	15423584/1947375	95779/124875
3	6	6	29645437/3894750	945439/128250	30181687/3894750	408091/749250
3	6	7	817307881/109053000	25964107/3591000	832322881/109053000	911087/2331000
3	6	8	229979/31158	7283/1026	234269/31158	499/1998
3	6	9	113302211/15579000	3578617/513000	115447211/15579000	1078919/8991000
4	4	1	237287027/31158000	7708169/1026000	241577027/31158000	1507487/1998000
4	5	2	423713/54000	423713/54000	248772401/31158000	759127/666000
4	5	3	244110629/31158000	7932863/1026000	248400629/31158000	1945049/1998000
4	5	4	48120457/6231600	1542379/205200	48978457/6231600	282317/399600
4	6	3	253664687/31158000	8300189/1026000	257954687/31158000	2711947/1998000
4	6	4	125693011/15579000	4086217/513000	127838011/15579000	1205791/999000
4	6	5	310692229/38947500	10033063/1282500	316054729/38947500	864883/832500
4	6	6	152847647/19473750	4901309/641250	155528897/19473750	1040707/1248750
4	6	7	47669917/6231600	1516999/205200	48527917/6231600	222577/399600
