d	e	m	moment	cap	radius	J_50_49	P_lambda	P_theta
1	1	1	0	1	1	0	113845/15579	418/63
2	2	1	0	2	1	0	113845/15579	421/63
2	3	2	1	1	283/200	3867/9800	23577857/3115800	88829/12600
2	4	3	2	2/3	1733/1000	11639/24500	59921969/7789500	24877/3500
2	5	4	3	1/2	2	24/49	120424/15579	64/9
2	6	5	4	2/5	2237/1000	59613/122500	301462723/38947500	1118431/157500
3	3	1	0	3	1	3867/9800	23577857/3115800	90029/12600
3	4	2	1	2	63/50	70137/98000	241577027/31158000	937319/126000
3	4	3	3	1	1443/1000	20707/49000	118325497/15579000	445909/63000
3	5	3	2	5/3	1443/1000	8797/9800	24864887/3115800	4559/600
3	5	4	4	1	397/250	118353/196000	484596763/62316000	1829311/252000
3	5	5	6	3/5	171/100	10137/24500	59514527/7789500	221819/31500
3	5	6	8	1/3	909/500	19541/73500	58642937/7789500	216589/31500
3	6	4	3	3/2	397/250	12953/12250	61896863/7789500	122011/15750
3	6	5	5	1	171/100	4579/6125	15423584/1947375	58298/7875
3	6	6	7	2/3	909/500	19541/36750	30181687/3894750	37613/5250
3	6	7	9	3/7	1913/1000	131211/343000	832322881/109053000	3086557/441000
3	6	8	11	1/4	2	12/49	234269/31158	863/126
3	6	9	13	1/9	2081/1000	17323/147000	115447211/15579000	181243/27000
4	4	1	0	7/2	1	70137/98000	241577027/31158000	946319/126000
4	5	2	1	3	119/100	317993/294000	248772401/31158000	991997/126000
4	5	3	3	2	1317/1000	91599/98000	248400629/31158000	964913/126000
4	5	4	6	1	283/200	13467/19600	48978457/6231600	185029/25200
4	6	3	2	5/2	1317/1000	384791/294000	257954687/31158000	188971/25200
4	6	4	4	2	283/200	57241/49000	127838011/15579000	497167/63000
4	6	5	6	3/2	187/125	123699/122500	316054729/38947500	1212613/157500
4	6	6	8	1	783/500	49857/61250	155528897/19473750	588209/78750
4	6	7	11	1/2	1627/1000	10727/19600	48527917/6231600	25807/3600
